year_2023,year_2024,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,total,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,elec_excl,som_excl,demora,r_prog,r_noprg,waiting,queued,payload,distance,distance_down,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930EN,Kom.930ER,Kom.930ER-MT,Kom.980E5,Komatsu AHS
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4262428.0,2687417.0,172900.0,584341.0,72349.0,6670.0,87392.0,39804.0,131200.0,115946.0,226190.0,138219.0,158443,19628,158648.6492099762,11592433,1745531,2631743,1902827,5165894,1748094,-163692,-66880,174860,64096,2608101,177.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4273200.0,2803975.0,123425.0,645285.0,20452.0,44524.0,75445.0,2221.0,145881.0,129866.0,184160.0,97966.0,135423,24729,174081.8489637375,12732029,2011448,2645275,2101177,5861339,1961711,-171122,-69089,180397,66585,2842866,180.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4273200.0,2507973.0,155289.0,443612.0,22571.0,39219.0,155897.0,41665.0,156102.0,123117.0,415540.0,212215.0,133222,16155,154207.59900665283,10959287,1929991,2237950,2103315,4596162,1704722,-161116,-56970,178824,50114,2885393,180.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4269600.0,2818352.0,177032.0,527688.0,15946.0,3578.0,140357.0,10238.0,137131.0,124343.0,264718.0,50217.0,112169,29384,161414.8709692955,12735010,2120112,2650523,2351939,5499880,2007614,-182119,-65476,205542,56153,3067973,180.0,0.0,0.0,24.0,96.0,395.0,95.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4258800.0,2600286.0,111147.0,792249.0,0.0,24515.0,102942.0,247.0,158741.0,186005.0,178929.0,103739.0,84881,15722,128529.37302684784,11180284,1765899,2259239,2344337,4693286,1603343,-150381,-54717,204983,55335,2384711,179.0,0.0,0.0,24.0,95.0,394.0,96.0,239.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4273200.0,2651355.0,51499.0,872192.0,583.0,43216.0,73911.0,0.0,133630.0,145593.0,184983.0,116238.0,148528,25740,144782.80608081818,11553111,1950774,2349454,2062105,5096280,1837673,-238783,-58763,229491,49118,2858631,179.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4266000.0,2711174.0,98017.0,724998.0,1899.0,5269.0,37519.0,0.0,131403.0,244466.0,204866.0,106389.0,115092,17026,139994.27304840088,11436320,1694474,2441432,2102173,5096342,1617164,-151393,-63569,206253,64270,2441831,179.0,0.0,0.0,24.0,96.0,394.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4276800.0,2787152.0,75988.0,589214.0,4039.0,60559.0,67874.0,0.0,99271.0,176076.0,229207.0,187420.0,125360,39140,150282.18202972412,12415708,2089904,2622052,2268535,5392562,1936636,-183777,-66715,208574,58396,3145153,180.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4255200.0,2681771.0,147988.0,690900.0,6500.0,63398.0,19598.0,0.0,106014.0,170125.0,206267.0,162639.0,109063,62444,151438.64995002747,11495144,1708298,2664494,1974430,5080634,1614066,-151159,-65224,179639,66477,2282357,180.0,0.0,0.0,24.0,96.0,390.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4273200.0,2809460.0,89651.0,652992.0,12957.0,67007.0,25017.0,0.0,138148.0,160463.0,210733.0,106772.0,161761,64884,161416.98898887634,12329182,2017374,2685185,2083783,5484199,1882447,-195500,-66581,205479,60679,2981258,180.0,0.0,0.0,24.0,96.0,396.0,96.0,239.0,0.0,132.0,24.0
